Title,Employer,Location,Date,Description,Industry,Source,Link
Excavator Operator,Municipal Group of Companies,Fredericton,"Jun 23, 2024","Dexter Construction is a large, diversified Construction Company engaged in all major aspects of the heavy civil construction industry within the Atlantic Provinces. We are currently seeking Excavator Operators for the 2024 season. Job Summary:...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/excavator-operator-50912123
Bilingual Front Desk Receptionist,Randstad Canada,Moncton,"Jun 23, 2024",We are currently hiring for a receptionist/office administrative professional individual for our client in Moncton to begin ASAP. This is a two months contract to start immediately This position starts ASAP Monday to Friday 8:30am to 4:30 pm Please...,"Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/bilingual-front-desk-receptionist-50913238
Warehouse Associate/Truck Driver,Randstad Canada,Moncton,"Jun 23, 2024","Are you a class 1 driver who has worked in the warehouse as well? we have a shipper/driver role in Moncton. You will be working for one of Canada's leading importer, distributor and manufacturer of specialty hardware and complementary products....","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/warehouse-associatetruck-driver-50917147
Casual Front Desk Receptionist,Randstad Canada,Saint John,"Jun 23, 2024","We are currently hiring for a receptionist/ office admin individual for our client in Saint John to begin ASAP. This is temporary position that is casual for Sep 21st, and then Oct 11 – 14 and Nov 7 – 10. There may be a few days in December as well....","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/casual-front-desk-receptionist-50917337
Gérant des caisses & réception,Rona Inc.,Edmundston,"Jun 23, 2024",Description du poste Gérant des Caisses & Réception Enseigne: RONA Entité: RONA - 43230 - Edmundston Ville: Edmundston Province: Nouveau-Brunswick Statut du poste: Temps Plein Catégorie d'emploi : Gestion du magasin Date de clôture: 25/06/2024...,"Sales, Services",JobBoom,https://www.jobboom.com/fr/offre-emploi/gerant-des-caisses-reception_rona-inc_p3263282
Transportation Manager,AK Transportation Ltd,Moncton,"Jun 23, 2024","Experience Required 1 year to less than 2 years Education Required Bachelor's degree Benefits As per Agreement Company Profile: At AK Transportation, we specialize in delivering comprehensive freight solutions tailored to meet the diverse needs of...",Management,AllStarJobs,https://allstarjobs.ca/transportation-logistics-jobs/transportation-manager-7ff83375-d825-4e67-980c-4355035ca203
On-Site Support Analyst,University of New Brunswick,Saint John,"Jun 23, 2024","Closing Date: July 10, 2024 at 4:00 PM Information Technology Services ITS provides UNB with professional information and communication technology services, leadership, and expertise to ensure the UNB community can achieve its goals with the support...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/onsite-support-analyst-51006656
Casual Bus Driver(s) Temp Opportunities,University of New Brunswick,Fredericton,"Jun 23, 2024",Forestry and Environmental Management (ForEM) ForEM has approximately 245 undergraduates and 125 graduate students enrolled at UNB to study forestry and environmental management. The faculty has several active research programs and currently employs...,"Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/casual-bus-drivers-temp-opportunities-50916740
Bilingual Territory Sales Manager,CANADIAN FEDERATION OF INDEPENDENT BUSINESS,Bathurst,"Jun 23, 2024","We are looking for a Bilingual Territory Sales Manager in Bathurst, NB! Do you want to work for an organization that believes in people’s potential? If you are independent, self starter, people-oriented and a driven individual looking for your next...",Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/sales-business-development/bilingual-territory-sales-manager-49840799
"Chef de service, Gestion des capitaux et des risques",Medavie Blue Cross,Location Unknown,"Jun 23, 2024","La Compagnie d’Assurance-vie Croix Bleue du Canada est une entreprise sous réglementation fédérale qui distribue ses produits par l’intermédiaire des différentes Croix Bleue. Elle se spécialise dans les produits d’assurance vie, de prestations du...","Business, Finance, Administration",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/chef-de-service-gestion-des-capitaux-et-des-risques-50913720
"Heavy Equipment Field Service Mechanic, Earth Moving",Liebherr Group,Moncton,"Jun 23, 2024","Are you a skilled Heavy Equipment Mechanic with a Red Seal certification and a knack for fieldwork? We want you on our team! In this exciting role, you'll be responsible for the safe and efficient repair and maintenance of advanced Liebherr...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/heavy-equipment-field-service-mechanic-earth-moving-50915249
Transport Senior Coordinator,LOBLAW COMPANIES LIMITED,Moncton,"Jun 23, 2024","Transport Senior Coordinator page is loaded Transport Senior Coordinator Apply locations 100 Baig Blvd, Moncton, NB time type Full time posted on Posted Yesterday job requisition id R2000472499 Referred applicants should not apply directly to this...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/transport-senior-coordinator-51007900
"Consultant(e), Ventes et Réservations de Luxe - pour Hôtels et Villégiatures",Accor,Moncton,"Jun 23, 2024","Description de l'entreprise Pourquoi travailler chez Accor ? Nous sommes bien plus qu'un leader mondial. Nous vous accueillons tel que vous êtes. Nous vous aidons à vous épanouir et à apprendre chaque jour, pour que votre travail donne un sens à...","Business, Finance, Administration",Accor,https://careers.accor.com/global/en/job/consultant-e-ventes-et-reservations-de-luxe-pour-hotels-et-villegiatures-in-frs-global-reservation-center-moncton-canada-jid-20127
Sr. Cybersecurity Specialist,THALES,Fredericton,"Jun 23, 2024","Location: Fredericton, CanadaIn fast changing markets, customers worldwide rely on Thales. Thales is a business where brilliant people from all over the world come together to share ideas and inspire each other. In aerospace, transportation,...","Engineers, Architects, IT, Natural Science",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/sr-cybersecurity-specialist-50913728
Customer Service Rep / Relief Delivery Driver,Canadian Linen / Quebec Linge,Dieppe,"Jun 23, 2024","Posted 1 day ago calendar_today Immediate Start Job Description WHO WE ARE Canadian Linen & Uniform Service Corp., a Vestis company, provides uniforms and related products to more than 300,000 customers across North America, in virtually every...","Trades, Transport, Construction",86Network,https://www.86network.com/jobs/dieppe/ca/canadian-linen-quebec-linge/customer-service-rep-relief-delivery-driver-uu0tzg?latitude=&longitude=&index=6&location_query=Canada&query=&?latitude=&longitude=&index=6&location_query=Canada&query=
"Sales Associates - Part Time Regent Mall - Fredericton, NB",QE HOME,Fredericton,"Jun 23, 2024","Overview QE Home | Quilts Etc. is a designer bedding retailer with over 70 stores across the country and a fast-growing e-commerce business. Proudly Canadian and family-owned since 1992, we are passionate about providing customers with beautiful,...","Sales, Services",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/sales-associates-part-time-regent-mall-fredericton-nb-50912397
Diététiste/Nutritioniste 1 et gestionnaire de cas en diabète,Vitalité Health Network,Moncton,"Jun 23, 2024","SOMMAIRE DE L'EMPLOI : Sous l’autorité de la gestionnaire des maladies chroniques, la ou le titulaire du poste collaborera avecles médecins dans le contexte de leur pratique en soins de santé primaires, de même qu’avec les équipes de soins de santé...",Health,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/dittistenutritioniste-1-et-gestionnaire-de-cas-en-diabte-50916772
Product Designer,AppCast,Fredericton,"Jun 23, 2024","Company Description Appcast is the global leader in programmatic recruitment advertising technology and services. With advanced technology, unmatched market data and a team of the industry's best recruitment marketers, Appcast's technology and...","Arts, Cultural, Recreation, Sports",CareerBeacon,https://www.careerbeacon.com/en/job-9/1368853/appcast/product-designer/fredericton-nb
Human Resources Director,"J.D. Irving, Limited",Saint John,"Jun 23, 2024","Director of Human Resources for Irving Business Services Irving Business Services provides professional services to the J.D. Irving, Limited (JDI) group of Companies. The Human Resources Team for Irving Business Services supports Finance, Supply...",Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/human-resources-director-51005592
Diesel Service Technician,Bayview Trucks - Woodstock,Location Unknown,"Jun 23, 2024","The Bayview Group is a full service, parts and sales dealer for Kenworth Trucks and KUBOTA farm and construction Equipment. We are currently hiring for our Woodstock New Brunswick location. Key Responsibilities for a Technician: - Demonstrate...","Trades, Transport, Construction",CareerBeacon,https://www.careerbeacon.com/en/job-9/1369448/bayview-trucks-woodstock/diesel-service-technician/jacksonville-nb
Diesel Service Technician,Bayview Trucks - Saint John,Saint John,"Jun 23, 2024","The Bayview Group is a full service, parts and sales dealer for Kenworth Trucks. We are currently hiring for our Saint John New Brunswick location. *Relocation assistance is available for the right candidate and compensation is based on level of...","Trades, Transport, Construction",Monster,https://www.monster.ca/job-openings/diesel-service-technician-saint-john-04--08d4348b-be63-4732-aa73-e48e6ddb62e6
Territory Sales Manager (8907),The Bridger Group,Location Unknown,"Jun 23, 2024",Who They Are Our client is a leading distributor of manufactured and natural stone veneer products for the residential and commercial segments. This company is laser focused on growth and innovation and has expanded their product lines and...,Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/territory-sales-manager-8907-51005359
Project Manager/Business Analyst,NLP PEOPLE,Moncton,"Jun 23, 2024","Our client, one of the major pharmaceutical companies located in Hopewell, NJ, is seeking an EAP Project Manager / Business Analyst for a long-term (8-10 month) contract assignment. Job Responsibilities: Work with Business Capability Manager (BCM)...",Management,Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/project-managerbusiness-analyst-51007249
Class 1 Transportation Operator,GFL Environmental,Saint John,"Jun 23, 2024","This driver will transport, remove, deliver, and collect various liquid and solid hazardous wastes from various customer sites. Will be required to load and unload trucks. They will also have the ability to operate a variety of truck and equipment...","Trades, Transport, Construction",Grabjobs CA,https://grabjobs.co/canada/job/full-time/others/class-1-transportation-operator-50913800
